VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-03-01 02:18:08,2016-03-01 03:11:15,N,1,-73.83349609375,40.673446655273438,-73.988204956054688,40.746143341064453,1,28.42,78,0.5,0.5,15.86,0,,0.3,95.16,1,1
2,2016-03-01 02:53:17,2016-03-01 03:12:21,N,1,-73.885673522949219,40.747535705566406,-73.957038879394531,40.745708465576172,1,4.09,16,0.5,0.5,5.19,0,,0.3,22.49,1,1
2,2016-03-01 02:40:28,2016-03-02 00:00:00,N,1,-73.95855712890625,40.723037719726563,-73.9822998046875,40.7476806640625,1,7.17,26,0.5,0.5,0,0,,0.3,27.3,1,1
2,2016-03-01 02:58:40,2016-03-01 03:13:20,N,1,-73.893157958984375,40.746799468994141,-73.997604370117187,40.712043762207031,1,7.45,22,0.5,0.5,4.66,0,,0.3,27.96,1,1
2,2016-03-01 02:52:32,2016-03-01 03:13:24,N,1,-73.889846801757812,40.746906280517578,-73.887138366699219,40.738147735595703,1,3.67,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,2016-03-01 02:25:13,2016-03-01 03:12:33,N,1,-73.950157165527344,40.656230926513672,-73.873184204101563,40.667926788330078,1,11.38,39,0.5,0.5,0,0,,0.3,40.3,2,1
2,2016-03-01 02:50:22,2016-03-01 03:16:08,N,1,-73.883140563964844,40.753524780273438,-73.89605712890625,40.74517822265625,1,1.64,15.5,0.5,0.5,2,0,,0.3,18.8,1,1
2,2016-03-01 02:47:08,2016-03-01 03:18:42,N,1,-73.958000183105469,40.721885681152344,-73.852149963378906,40.740566253662109,1,7.68,27.5,0.5,0.5,0,0,,0.3,28.8,2,1
2,2016-03-01 02:26:26,2016-03-01 03:19:48,N,3,-73.844306945800781,40.720855712890625,-74.176780700683594,40.692138671875,1,26.81,88.5,0.5,0,0,10.5,,0.3,99.8,2,1
2,2016-03-01 02:49:22,2016-03-01 03:22:11,N,1,-73.925613403320312,40.668186187744141,-73.863388061523438,40.674724578857422,1,7.92,26.5,0.5,0.5,0,0,,0.3,27.8,2,1
